cell_line_name,stripped_cell_line_name,DepMap_ID
NCI-H2228,NCIH2228,ACH-000447
NCI-H1666,NCIH1666,ACH-000448
MES-SA,MESSA,ACH-000449
MEL-HO,MELHO,ACH-000450
NCI-H2085,NCIH2085,ACH-000451
TE-8,TE8,ACH-000452
MOLP-2,MOLP2,ACH-000453
HCC-95,HCC95,ACH-000454
LN-428,LN428,ACH-000455
B-CPAP,BCPAP,ACH-000456
CAL-54,CAL54,ACH-000457
CJM,CJM,ACH-000458
TUHR10TKB,TUHR10TKB,ACH-000459
SNU-8,SNU8,ACH-000460
SNU-1196,SNU1196,ACH-000461
"NALM-1","NALM1",ACH-000462
CAS-1,CAS1,ACH-000464
SK-MEL-1,SKMEL1,ACH-000465
SNU-216,SNU216,ACH-000466
HCC-56,HCC56,ACH-000467
PK-45H,PK45H,ACH-000468
YH-13,YH13,ACH-000469
SW1463,SW1463,ACH-000470
Li-7,LI7,ACH-000471
HSC-2,HSC2,ACH-000472
RT-112,RT112,ACH-000473
huH-1,HUH1,ACH-000475
JHH-4,JHH4,ACH-000476
Malme-3M,MALME3M,ACH-000477
SNU-387,SNU387,ACH-000478
KNS-81,KNS81,ACH-000479
HuH-7,HUH7,ACH-000480
NCI-H2170,NCIH2170,ACH-000481
RERF-LC-KJ,RERFLCKJ,ACH-000482
SNU-182,SNU182,ACH-000483
VMRC-RCW,VMRCRCW,ACH-000484
GSU,GSU,ACH-000485
KU-19-19,KU1919,ACH-000486
F-36P,F36P,ACH-000487
TE-11,TE11,ACH-000488
SW1116,SW1116,ACH-000489
SF767,SF767,ACH-000490
NCI-H716,NCIH716,ACH-000491
MUTZ-5,MUTZ5,ACH-000492
SNU-423,SNU423,ACH-000493
OELE,OELE,ACH-000494
TUHR4TKB,TUHR4TKB,ACH-000495
NCI-H1792,NCIH1792,ACH-000496
KO52,KO52,ACH-000498
EW8,EW8,ACH-000499
SNU-46,SNU46,ACH-000500
LS123,LS123,ACH-000501
TCC-PAN2,TCCPAN2,ACH-000502
BICR 16,BICR16,ACH-000503
SNB75,SNB75,ACH-000504
RKN,RKN,ACH-000505
NCI-H146,NCIH146,ACH-000506
KE-39,KE39,ACH-000507
COR-L88,CORL88,ACH-000508
HuT 78,HUT78,ACH-000509
NCI-H1299,NCIH1299,ACH-000510
Calu-1,CALU1,ACH-000511
NA,INA6,ACH-000512
SNU-1272,SNU1272,ACH-000513
NCI-H1092,NCIH1092,ACH-000514
HCC-33,HCC33,ACH-000515
CAL-78,CAL78,ACH-000516
SNU-410,SNU410,ACH-000517
CAL-33,CAL33,ACH-000518
PEER,PEER,ACH-000519
59M,59M,ACH-000520
NCI-H2030,NCIH2030,ACH-000521
UM-UC-3,UMUC3,ACH-000522
NCI-H1184,NCIH1184,ACH-000523
KURAMOCHI,KURAMOCHI,ACH-000524
NCI-H2171,NCIH2171,ACH-000525
Hs 821.T,HS821T,ACH-000526
OVISE,OVISE,ACH-000527
ABC-1,ABC1,ACH-000528
T1-73,T173,ACH-000529
DMS 114,DMS114,ACH-000530
NA,RS5,ACH-000531
SNU-61,SNU61,ACH-000532
NCI-H2004 RT,NCIH2004RT,ACH-000533
WSU-DLCL2,WSUDLCL2,ACH-000534
BxPC-3,BXPC3,ACH-000535
BT-20,BT20,ACH-000536
SNU-761,SNU761,ACH-000537
HUTU80,HUTU80,ACH-000538
Hs 618.T,HS618T,ACH-000539
Hs 606.T,HS606T,ACH-000540
KMS-34,KMS34,ACH-000541
Hey-A8,HEYA8,ACH-000542
SNU-489,SNU489,ACH-000543
OE21,OE21,ACH-000544
