drug_name,cid,origin
UNC10225489A,51357954,LINCS
UNC10225490A,66561013,LINCS
UNC10225491A,25263085,LINCS
UNC10225492A,44525969,LINCS
UNC10225494A,53467617,LINCS
UNC10225496A,25263102,LINCS
UNC10225497A,22609863,LINCS
UNC10225498A,44526758,LINCS
UNC10225499A,11716589,LINCS
UNC10225500A,53469634,LINCS
UNC10225501A,11220119,LINCS
UNC10225502A,1491157,LINCS
UNC10225504A,44530989,LINCS
UNC10243858A,3134,LINCS
UNC10243859A,51357696,LINCS
UNC10243861A,57391365,LINCS
UNC10243862A,221158,LINCS
UNC10243863A,309461,LINCS
UNC10243881A,70685442,LINCS
UNC10243881A,70685442,LINCS
UNC10244034A,11959683,LINCS
AKI00000020a,68195404,LINCS
AKI00000062a,49830468,LINCS
BAY-309,155544007,LINCS
BAY-827,155543618,LINCS
ERKi,145925680,LINCS
ERKi-NC,155557179,LINCS
GSK2141795,51042438,LINCS
GSK2141795,75605138,LINCS
ML-281,53377448,LINCS
MRL-SYKi-NC,155545891,LINCS
T3,5920,LINCS
TP-003,10001434,LINCS
TP-008,145925651,LINCS
Abemaciclib,46220502,klaeger
AC-480,10437018,klaeger
ACTB-1003,23653175,klaeger
AEE-788,10297043,klaeger
AEW-541,11476171,klaeger
Afatinib,10184653,klaeger
Alectinib,49806720,klaeger
Alisertib,24771867,klaeger
Alvocidib,5287969,klaeger
AMG-208,24864821,klaeger
AMG-900,24856041,klaeger
Amuvatinib,11282283,klaeger
Apatinib,11315474,klaeger
Apatinib,45139106,klaeger
Apatinib,131750276,klaeger
Apitolisib,25254071,klaeger
ARRY-380,42598643,klaeger
ASP-3026,25134326,klaeger
AT-13148,24905401,klaeger
AT-7519,11338033,klaeger
AT-9283,135398495,klaeger
AV-412,9806229,klaeger
AV-412,11700696,klaeger
AV-412,156267898,klaeger
Axitinib,6450551,klaeger
AXL-1717,72435,klaeger
AZD-1208,58423153,klaeger
AZD-1480,16659841,klaeger
AZD-2014,25262792,klaeger
AZD-4547,51039095,klaeger
AZD-5363,25227436,klaeger
AZD-5438,16747683,klaeger
AZD-6482,44137675,klaeger
AZD-7762,11152667,klaeger
AZD-8055,25262965,klaeger
AZD-8186,52913813,klaeger
AZD-8330,16666708,klaeger
Bafetinib,11387605,klaeger
Barasertib,11497983,klaeger
Barasertib_HQPA,16007391,klaeger
Baricitinib,44205240,klaeger
BGT-226,11978790,klaeger
BI-2536,11364421,klaeger
BI-847325,135567102,klaeger
Binimetinib,10288191,klaeger
BMS-387032,3025986,klaeger
BMS-690514,11349170,klaeger
BMS-754807,24785538,klaeger
BMS-777607,24794418,klaeger
BMS-911543,50922691,klaeger
Bosutinib,5328940,klaeger
Brivanib,11234052,klaeger
Brivanib_alaninate,11154925,klaeger
BYL-719,56649450,klaeger
Cabozantinib,25102847,klaeger
Canertinib,156414,klaeger
Capmatinib,25145656,klaeger
CC-401,10430360,klaeger
Cediranib,9933475,klaeger
CEP-32496,56846693,klaeger
Cerdulatinib,44595079,klaeger
Ceritinib,57379345,klaeger
CH-5183284,66555680,klaeger
Cobimetinib,16222096,klaeger
Copanlisib,135565596,klaeger
CP-547632,9811611,klaeger
CP-724714,9874913,klaeger
Crenolanib,10366136,klaeger
Crizotinib,11626560,klaeger
CUDC-101,24756910,klaeger
Cyc-116,6420138,klaeger
Dabrafenib,44462760,klaeger
Dacomitinib,11511120,klaeger
Danusertib,11442891,klaeger
Dasatinib,3062316,klaeger
Decernotinib,59422203,klaeger
Defactinib,25117126,klaeger
Deforolimus,11520894,klaeger
Deforolimus,25199957,klaeger
Deforolimus,53486198,klaeger
Deforolimus,137699208,klaeger
Deforolimus,23724531,klaeger
Deforolimus,146159240,klaeger
Deforolimus,71296108,klaeger
Deforolimus,72734349,klaeger
Deforolimus,74787553,klaeger
Deforolimus,86289926,klaeger
Deforolimus,92044413,klaeger
Deforolimus,123135742,klaeger
Deforolimus,129317881,klaeger
Deforolimus,137303705,klaeger
Deforolimus,155809409,klaeger
Dinaciclib,46926350,klaeger
Dovitinib,135398510,klaeger
Encorafenib,50922675,klaeger
ENMD-2076,16041424,klaeger
Entrectinib,25141092,klaeger
Enzastaurin,176167,klaeger
Erlotinib,176870,klaeger
Fasudil,3547,klaeger
Fedratinib,16722836,klaeger
Filgotinib,49831257,klaeger
Foretinib,42642645,klaeger
Fostamatinib,11671467,klaeger
Galunisertib,10090485,klaeger
GDC-0994,71727581,klaeger
Gefitinib,123631,klaeger
Gilteritinib,49803313,klaeger
Golvatinib,16118392,klaeger
GSK-1059615,23582824,klaeger
GSK-1070916,46885626,klaeger
GSK-2110183,46843057,klaeger
GSK-461364,15983966,klaeger
GSK-690693,16725726,klaeger
HMN-214,9888590,klaeger
Hydroxyfasudil,3064778,klaeger
Ibrutinib,24821094,klaeger
Icotinib,22024915,klaeger
Imatinib,5291,klaeger
IMD-0354,5081913,klaeger
JANEX-1,3794,klaeger
JNJ-26483327,11952856,klaeger
JNJ-38877605,46911863,klaeger
K-252a,3035817,klaeger
K-252a,3813,klaeger
K-252a,490561,klaeger
K-252a,9912413,klaeger
K-252a,9912410,klaeger
K-252a,9912412,klaeger
K-252a,11612445,klaeger
K-252a,98053103,klaeger
KW-2449,11427553,klaeger
Lapatinib,208908,klaeger
Lenvatinib,9823820,klaeger
Lestaurtinib,126565,klaeger
Linifanib,11485656,klaeger
Linsitinib,11640390,klaeger
Losmapimod,11552706,klaeger
Lucitanib,25031915,klaeger
LY-2584702,25118925,klaeger
LY-2801653,44603533,klaeger
Masitinib,10074640,klaeger
MGCD-265,24901704,klaeger
Midostaurin,9829523,klaeger
Milciclib,16718576,klaeger
MK-1775,24856436,klaeger
MK-2206,24964624,klaeger
MK-2461,44137946,klaeger
MK-5108,24748204,klaeger
MK-8033,45142457,klaeger
MLN-2480,25161177,klaeger
MLN-8054,11712649,klaeger
Momelotinib,25062766,klaeger
Motesanib,11667893,klaeger
Mubritinib,6444692,klaeger
Neratinib,9915743,klaeger
Nilotinib,644241,klaeger
Nintedanib,135423438,klaeger
NMS-1286937,49792852,klaeger
Omipalisib,25167777,klaeger
ONO-4059 analogue,89455219,klaeger
Orantinib,5329099,klaeger
OSI-027,135398516,klaeger
OSI-930,9868037,klaeger
Osimertinib,71496458,klaeger
OTS-167,135398499,klaeger
P-276-00,23643975,klaeger
P-276-00,23643976,klaeger
Pacritinib,46216796,klaeger
Palbociclib,5330286,klaeger
Pazopanib,10113978,klaeger
PD-325901,9826528,klaeger
Pelitinib,6445562,klaeger
Pexidartinib,25151352,klaeger
Pexmetinib,24765037,klaeger
PF-03814735,51346455,klaeger
PF-04217903,17754438,klaeger
PF-04691502,25033539,klaeger
PF-3758309,25227462,klaeger
PF-477736,135565545,klaeger
PF-562271,11713159,klaeger
PH-797804,22049997,klaeger
PHA-793887,46191454,klaeger
Pictilisib,17755052,klaeger
Pimasertib,44187362,klaeger
Ponatinib,24826799,klaeger
Poziotinib,25127713,klaeger
Quizartinib,24889392,klaeger
R-406,11213558,klaeger
R-547,6918852,klaeger
Rabusertib,11955855,klaeger
RAF-265,11656518,klaeger
Rebastinib,25066467,klaeger
Refametinib,44182295,klaeger
Regorafenib,11167602,klaeger
RGB-286638,11285001,klaeger
RGB-286638,11285002,klaeger
Ribociclib,44631912,klaeger
Rigosertib,6918736,klaeger
Ripasudil,9863672,klaeger
Ro-4987655,11548630,klaeger
Ro-5126766,16719221,klaeger
Rociletinib,57335384,klaeger
Ruboxistaurin,153999,klaeger
Ruxolitinib,25126798,klaeger
Sapanisertib,45375953,klaeger
Sapitinib,11488320,klaeger
SAR-407899,15604510,klaeger
