BROMOscan Gene Symbol,Common Inhibitor Name,CBIS Compound Name,KD,St.Dev.,n,KD Units,Inhibitor SMILE
BRD2(2),Bromosporine,Bromosporine,84,2.2,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD3(1),Bromosporine,Bromosporine,160,4.1,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
"BRD3(1,2)",Bromosporine,Bromosporine,30,2.83,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD3(2),Bromosporine,Bromosporine,76,0.90,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD4(1),Bromosporine,Bromosporine,38,2.9,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
"BRD4(1,2)",Bromosporine,Bromosporine,30.5,3.54,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD4(2),Bromosporine,Bromosporine,40,1.2,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
"BRD4(full-length,short-iso.)",Bromosporine,Bromosporine,25.5,2.12,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD7,Bromosporine,Bromosporine,82,34,6,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD8(1),Bromosporine,Bromosporine,28000,15000,7,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD8(2),Bromosporine,Bromosporine,40000,24000,8,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRD9,Bromosporine,Bromosporine,6.0,4.1,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRDT(1),Bromosporine,Bromosporine,58,12,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
"BRDT(1,2)",Bromosporine,Bromosporine,87,4.24,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRDT(2),Bromosporine,Bromosporine,260,51,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRPF1,Bromosporine,Bromosporine,600,51,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
BRPF3,Bromosporine,Bromosporine,6000,1900,8,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
CECR2,Bromosporine,Bromosporine,11,4.1,6,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
CREBBP,Bromosporine,Bromosporine,950,80,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
EP300,Bromosporine,Bromosporine,1600,55,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
FALZ,Bromosporine,Bromosporine,3300,36,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
GCN5L2,Bromosporine,Bromosporine,12000,48,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
PBRM1(2),Bromosporine,Bromosporine,>50000,,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
PBRM1(5),Bromosporine,Bromosporine,27000,8400,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
PCAF,Bromosporine,Bromosporine,11000,3000,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
SMARCA2,Bromosporine,Bromosporine,4600,210,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
SMARCA2(iso.A),Bromosporine,Bromosporine,6200,160,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
SMARCA4,Bromosporine,Bromosporine,4000,1300,18,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
